dstport,protocol,tag
133,tcp,sv_P4
134,ipv6,sv_P4
135,sprite-rpc,sv_P2
136,ipv6,sv_P1
137,sprite-rpc,SV_P3
138,dgp,sv_P1
139,sprite-rpc,sv_P1
140,sprite-rpc,SV_P3
141,tcp,sv_P5
142,tcp,sv_P2
143,sprite-rpc,sv_P2
144,udp,SV_P3
145,tcp,sv_P1
146,ipv6,sv_P5
147,sprite-rpc,SV_P3
148,ipv6,sv_P4
149,sprite-rpc,sv_P5
150,dgp,sv_P2
151,sprite-rpc,sv_P1
152,sprite-rpc,sv_P2
153,ipv6,sv_P4
154,sprite-rpc,sv_P2
155,udp,sv_P4
156,sprite-rpc,sv_P1
157,ipv6,SV_P3
158,ipv6,sv_P5
159,tcp,sv_P2
160,sprite-rpc,sv_P4
161,udp,sv_P1
162,ipv6,sv_P4
163,udp,sv_P2
164,tcp,sv_P5
165,tcp,sv_P5
166,dgp,sv_P4
167,dgp,SV_P3
168,udp,sv_P1
169,sprite-rpc,SV_P3
170,dgp,sv_P4
171,udp,sv_P5
172,ipv6,sv_P4
173,udp,sv_P2
174,sprite-rpc,sv_P5
175,tcp,SV_P3
176,dgp,sv_P4
177,tcp,sv_P4
178,dgp,sv_P4
179,udp,sv_P2
180,dgp,sv_P2
181,dgp,sv_P4
182,dgp,sv_P2
183,ipv6,sv_P1
184,ipv6,sv_P4
185,udp,SV_P3
186,dgp,sv_P2
187,dgp,sv_P5
188,ipv6,sv_P5
189,udp,sv_P2
190,udp,SV_P3
191,udp,sv_P2
192,sprite-rpc,SV_P3
193,sprite-rpc,sv_P4
194,ipv6,sv_P4
195,udp,sv_P2
196,dgp,sv_P4
197,sprite-rpc,SV_P3
198,dgp,sv_P4
199,ipv6,SV_P3
200,udp,sv_P4
201,sprite-rpc,sv_P2
202,sprite-rpc,sv_P1
203,tcp,sv_P1
204,dgp,sv_P4
205,ipv6,sv_P2
206,dgp,SV_P3
207,tcp,SV_P3
208,udp,sv_P4
209,ipv6,SV_P3
210,dgp,sv_P2
211,udp,SV_P3
212,dgp,sv_P4
213,sprite-rpc,sv_P5
214,ipv6,sv_P5
215,sprite-rpc,sv_P5
216,dgp,SV_P3
217,ipv6,sv_P1
218,sprite-rpc,sv_P2
219,sprite-rpc,sv_P4
220,udp,SV_P3
221,tcp,sv_P4
222,ipv6,sv_P1
223,ipv6,sv_P2
224,ipv6,sv_P1
225,sprite-rpc,SV_P3
226,dgp,sv_P4
227,tcp,sv_P1
228,dgp,sv_P2
229,tcp,SV_P3
230,udp,sv_P2
231,dgp,sv_P5
232,udp,sv_P2
233,sprite-rpc,sv_P2
234,sprite-rpc,sv_P5
235,tcp,SV_P3
236,dgp,sv_P4
237,udp,sv_P2
238,tcp,sv_P5
239,sprite-rpc,sv_P4
240,tcp,sv_P5
241,tcp,sv_P5
242,sprite-rpc,sv_P4
243,tcp,sv_P2
244,tcp,SV_P3
245,dgp,sv_P4
246,tcp,sv_P2
247,udp,sv_P1
248,dgp,sv_P2
249,udp,sv_P1
250,dgp,sv_P5
251,sprite-rpc,sv_P5
252,ipv6,sv_P1
253,sprite-rpc,sv_P1
254,udp,sv_P5
255,tcp,sv_P2
256,dgp,sv_P4
257,udp,sv_P1
258,sprite-rpc,SV_P3
259,tcp,sv_P2
260,sprite-rpc,SV_P3
261,dgp,sv_P4
262,udp,sv_P1
263,sprite-rpc,sv_P1
264,udp,sv_P5
265,sprite-rpc,sv_P1
266,sprite-rpc,sv_P2
267,sprite-rpc,SV_P3
268,ipv6,sv_P4
269,dgp,SV_P3
270,tcp,sv_P1
271,dgp,sv_P2
272,sprite-rpc,sv_P1
273,ipv6,sv_P4
274,dgp,sv_P2
275,ipv6,sv_P1
276,sprite-rpc,sv_P4
277,udp,sv_P1
278,dgp,sv_P4
279,udp,SV_P3
280,tcp,SV_P3
281,sprite-rpc,sv_P4
282,tcp,sv_P1
283,tcp,sv_P5
284,sprite-rpc,sv_P1
285,tcp,sv_P1
286,sprite-rpc,sv_P4
287,tcp,sv_P4
288,dgp,sv_P4
289,tcp,sv_P5
290,sprite-rpc,sv_P4
291,tcp,sv_P2
292,dgp,sv_P4
293,tcp,sv_P2
294,ipv6,sv_P5
295,sprite-rpc,SV_P3
296,dgp,sv_P5
297,sprite-rpc,sv_P1
298,dgp,SV_P3
299,udp,SV_P3
300,tcp,sv_P2
301,tcp,sv_P2
302,dgp,SV_P3
303,tcp,sv_P4
304,dgp,sv_P2
305,dgp,sv_P5
306,ipv6,SV_P3
307,udp,SV_P3
308,dgp,sv_P1
309,ipv6,sv_P1
310,ipv6,SV_P3
311,udp,sv_P1
312,dgp,sv_P4
313,sprite-rpc,sv_P1
314,dgp,sv_P2
315,sprite-rpc,sv_P1
316,dgp,sv_P1
317,dgp,sv_P4
318,dgp,sv_P4
319,udp,sv_P4
320,ipv6,sv_P2
321,udp,sv_P1
322,ipv6,sv_P5
323,udp,sv_P1
324,sprite-rpc,sv_P4
325,dgp,sv_P4
326,dgp,sv_P2
327,tcp,SV_P3
328,sprite-rpc,sv_P4
329,sprite-rpc,sv_P5
330,tcp,sv_P5
331,ipv6,sv_P1
332,udp,sv_P1
333,dgp,SV_P3
334,tcp,sv_P4
335,ipv6,sv_P4
336,tcp,sv_P4
337,tcp,sv_P1
338,ipv6,sv_P2
339,sprite-rpc,sv_P2
340,udp,SV_P3
341,sprite-rpc,SV_P3
342,tcp,sv_P2
343,udp,sv_P2
344,ipv6,sv_P5
345,dgp,sv_P1
346,tcp,sv_P5
347,tcp,sv_P4
348,ipv6,sv_P5
349,ipv6,sv_P4
350,dgp,sv_P2
351,sprite-rpc,sv_P5
352,udp,sv_P5
353,dgp,sv_P5
354,dgp,sv_P1
355,dgp,sv_P5
356,udp,SV_P3
357,tcp,sv_P5
358,sprite-rpc,sv_P2
359,tcp,sv_P5
360,sprite-rpc,sv_P5
361,sprite-rpc,sv_P2
362,tcp,sv_P5
363,tcp,sv_P2
364,dgp,sv_P4
365,udp,sv_P4
366,sprite-rpc,SV_P3
367,dgp,sv_P4
368,ipv6,sv_P2
369,udp,sv_P4
370,udp,sv_P2
371,sprite-rpc,sv_P4
372,sprite-rpc,sv_P4
373,dgp,sv_P2
374,tcp,sv_P1
375,udp,sv_P2
376,tcp,sv_P1
377,ipv6,sv_P1
378,sprite-rpc,sv_P5
379,ipv6,sv_P4
380,ipv6,sv_P4
381,dgp,sv_P1
382,tcp,sv_P4
383,sprite-rpc,sv_P5
384,sprite-rpc,SV_P3
385,ipv6,sv_P5
386,udp,sv_P1
387,tcp,sv_P4
388,ipv6,SV_P3
389,tcp,sv_P4
390,dgp,SV_P3
391,udp,sv_P4
392,tcp,sv_P2
393,sprite-rpc,sv_P5
394,ipv6,sv_P4
395,sprite-rpc,SV_P3
396,tcp,sv_P5
397,sprite-rpc,SV_P3
398,udp,SV_P3
399,tcp,sv_P4
400,sprite-rpc,sv_P2
401,udp,sv_P2
402,sprite-rpc,sv_P1
403,tcp,SV_P3
404,udp,sv_P1
405,tcp,sv_P1
406,udp,sv_P4
407,ipv6,sv_P2
408,ipv6,SV_P3
409,dgp,sv_P2
410,udp,sv_P1
411,tcp,sv_P4
412,sprite-rpc,SV_P3
413,ipv6,sv_P1
414,ipv6,sv_P1
415,ipv6,sv_P2
416,tcp,sv_P2
417,udp,SV_P3
418,udp,sv_P4
419,ipv6,sv_P1
420,ipv6,sv_P2
421,sprite-rpc,SV_P3
422,dgp,sv_P1
423,ipv6,sv_P5
424,sprite-rpc,sv_P5
425,tcp,SV_P3
426,dgp,sv_P4
427,udp,sv_P5
428,tcp,SV_P3
429,ipv6,sv_P2
430,dgp,sv_P5
431,ipv6,sv_P1
432,dgp,sv_P1
433,udp,sv_P1
434,sprite-rpc,sv_P1
435,dgp,sv_P5
436,sprite-rpc,SV_P3
437,tcp,sv_P1
438,dgp,sv_P5
439,tcp,sv_P2
440,udp,sv_P1
441,ipv6,sv_P4
442,sprite-rpc,sv_P5
443,ipv6,sv_P4
444,udp,sv_P4
445,tcp,sv_P2
446,udp,SV_P3
447,sprite-rpc,sv_P2
448,udp,sv_P1
449,tcp,sv_P1
450,sprite-rpc,sv_P5
451,tcp,sv_P5
452,ipv6,sv_P1
453,ipv6,sv_P2
454,udp,sv_P1
455,udp,sv_P2
456,udp,sv_P1
457,sprite-rpc,sv_P5
458,udp,sv_P2
459,tcp,sv_P4
460,ipv6,sv_P2
461,ipv6,sv_P5
462,udp,sv_P5
463,dgp,SV_P3
464,udp,sv_P1
465,dgp,SV_P3
466,dgp,sv_P5
467,sprite-rpc,sv_P1
468,udp,sv_P2
469,tcp,SV_P3
470,dgp,sv_P4
471,udp,sv_P2
472,tcp,SV_P3
473,dgp,sv_P4
474,tcp,sv_P5
475,sprite-rpc,sv_P2
476,tcp,sv_P5
477,dgp,sv_P1
478,ipv6,sv_P1
479,tcp,sv_P5
480,udp,sv_P4
481,tcp,sv_P1
482,udp,SV_P3
483,udp,sv_P4
484,sprite-rpc,sv_P2
485,tcp,sv_P5
486,udp,sv_P1
487,tcp,sv_P1
488,udp,sv_P1
489,udp,SV_P3
490,tcp,sv_P4
491,ipv6,SV_P3
492,ipv6,SV_P3
493,tcp,sv_P1
494,udp,SV_P3
495,ipv6,sv_P2
496,udp,sv_P5
497,ipv6,sv_P2
498,ipv6,sv_P4
499,sprite-rpc,sv_P2
500,dgp,sv_P5
501,sprite-rpc,sv_P5
502,sprite-rpc,sv_P2
503,sprite-rpc,sv_P4
504,ipv6,SV_P3
505,tcp,sv_P5
506,sprite-rpc,SV_P3
507,sprite-rpc,sv_P4
508,ipv6,sv_P1
509,ipv6,sv_P2
510,sprite-rpc,SV_P3
511,sprite-rpc,sv_P5
512,dgp,sv_P4
513,dgp,sv_P4
514,udp,sv_P4
515,dgp,sv_P5
516,ipv6,sv_P4
517,ipv6,sv_P4
518,ipv6,sv_P4
519,udp,SV_P3
520,dgp,sv_P5
521,tcp,sv_P4
522,sprite-rpc,sv_P4
523,ipv6,sv_P4
524,tcp,sv_P4
525,tcp,sv_P5
526,tcp,sv_P1
527,ipv6,sv_P4
528,udp,sv_P2
529,tcp,sv_P5
530,sprite-rpc,sv_P1
531,sprite-rpc,SV_P3
532,tcp,sv_P2
533,udp,SV_P3
534,ipv6,sv_P5
535,ipv6,SV_P3
536,ipv6,sv_P5
537,ipv6,sv_P1
538,sprite-rpc,sv_P5
539,tcp,sv_P1
540,dgp,sv_P4
541,tcp,sv_P1
542,udp,SV_P3
543,udp,sv_P5
544,sprite-rpc,sv_P5
545,tcp,SV_P3
546,dgp,sv_P4
547,tcp,sv_P5
548,sprite-rpc,sv_P2
549,tcp,sv_P5
550,udp,sv_P2
551,udp,sv_P4
552,udp,SV_P3
553,dgp,sv_P4
554,udp,sv_P1
555,tcp,sv_P5
556,udp,SV_P3
557,udp,sv_P4
558,sprite-rpc,sv_P4
559,sprite-rpc,sv_P1
560,tcp,SV_P3
561,tcp,SV_P3
562,tcp,sv_P1
563,tcp,sv_P2
564,udp,sv_P1
565,tcp,SV_P3
566,dgp,sv_P4
567,sprite-rpc,sv_P2
568,dgp,SV_P3
569,sprite-rpc,sv_P4
570,ipv6,sv_P4
571,ipv6,sv_P4
572,tcp,sv_P2
573,tcp,SV_P3
574,dgp,sv_P5
575,sprite-rpc,sv_P2
576,sprite-rpc,SV_P3
577,dgp,SV_P3
578,tcp,sv_P2
579,sprite-rpc,sv_P2
580,ipv6,SV_P3
581,dgp,sv_P1
582,sprite-rpc,sv_P4
583,udp,SV_P3
584,tcp,sv_P4
585,sprite-rpc,sv_P1
586,dgp,sv_P1
587,tcp,sv_P4
588,ipv6,sv_P4
589,sprite-rpc,sv_P2
590,tcp,sv_P1
591,ipv6,SV_P3
592,udp,sv_P4
593,tcp,sv_P5
594,udp,sv_P4
595,ipv6,sv_P5
596,dgp,sv_P5
597,dgp,SV_P3
598,dgp,sv_P4
599,udp,sv_P4
600,udp,sv_P1
601,udp,sv_P2
602,tcp,SV_P3
603,udp,sv_P2
604,tcp,sv_P2
605,dgp,sv_P4
606,udp,sv_P1
607,udp,sv_P2
608,tcp,sv_P5
609,dgp,sv_P5
610,udp,sv_P1
611,sprite-rpc,sv_P5
612,sprite-rpc,sv_P5
613,ipv6,sv_P2
614,ipv6,sv_P1
615,ipv6,sv_P4
616,ipv6,sv_P2
617,sprite-rpc,sv_P2
618,dgp,sv_P1
619,udp,SV_P3
620,sprite-rpc,sv_P2
621,dgp,sv_P1
622,tcp,SV_P3
623,sprite-rpc,sv_P5
624,sprite-rpc,sv_P1
625,dgp,sv_P2
626,tcp,sv_P1
627,tcp,sv_P2
628,ipv6,sv_P2
629,udp,sv_P5
630,udp,sv_P2
631,ipv6,sv_P2
632,sprite-rpc,sv_P2
633,tcp,sv_P1
634,tcp,sv_P1
635,sprite-rpc,sv_P5
636,sprite-rpc,sv_P1
637,udp,sv_P2
638,sprite-rpc,sv_P1
639,sprite-rpc,sv_P5
640,ipv6,sv_P4
641,ipv6,sv_P2
642,sprite-rpc,sv_P5
643,sprite-rpc,sv_P2
644,dgp,sv_P5
645,sprite-rpc,sv_P5
646,sprite-rpc,SV_P3
647,dgp,sv_P1
648,udp,sv_P5
649,sprite-rpc,sv_P5
650,sprite-rpc,SV_P3
651,tcp,SV_P3
652,udp,SV_P3
653,tcp,sv_P5
654,tcp,sv_P4
655,ipv6,SV_P3
656,udp,sv_P2
657,sprite-rpc,SV_P3
658,sprite-rpc,sv_P2
659,dgp,sv_P1
660,sprite-rpc,sv_P2
661,tcp,sv_P4
662,sprite-rpc,sv_P1
663,tcp,SV_P3
664,ipv6,sv_P5
665,tcp,sv_P2
666,tcp,sv_P5
667,sprite-rpc,sv_P1
668,udp,sv_P2
669,tcp,sv_P5
670,dgp,sv_P4
671,sprite-rpc,sv_P5
672,ipv6,sv_P1
673,tcp,sv_P1
674,udp,sv_P1
675,tcp,sv_P5
676,sprite-rpc,sv_P5
677,udp,sv_P2
678,sprite-rpc,sv_P1
679,dgp,sv_P4
680,sprite-rpc,sv_P1
681,udp,sv_P4
682,ipv6,sv_P2
683,dgp,SV_P3
684,tcp,sv_P5
685,tcp,SV_P3
686,udp,SV_P3
687,tcp,SV_P3
688,sprite-rpc,sv_P4
689,ipv6,sv_P4
690,dgp,sv_P4
691,dgp,sv_P4
692,ipv6,sv_P4
693,dgp,SV_P3
694,sprite-rpc,SV_P3
695,ipv6,sv_P5
696,tcp,SV_P3
697,ipv6,sv_P4
698,sprite-rpc,sv_P5
699,sprite-rpc,sv_P4
700,udp,SV_P3
701,dgp,sv_P4
702,ipv6,sv_P1
703,udp,sv_P2
704,ipv6,sv_P5
705,ipv6,SV_P3
706,dgp,sv_P1
707,udp,SV_P3
708,sprite-rpc,sv_P2
709,udp,sv_P2
710,ipv6,SV_P3
711,dgp,sv_P2
712,ipv6,sv_P2
713,dgp,sv_P2
714,udp,sv_P5
715,sprite-rpc,sv_P4
716,tcp,SV_P3
717,ipv6,sv_P1
718,tcp,sv_P5
719,sprite-rpc,sv_P2
720,udp,sv_P5
721,dgp,SV_P3
722,sprite-rpc,sv_P4
723,ipv6,sv_P2
724,ipv6,sv_P2
725,sprite-rpc,sv_P4
726,tcp,sv_P4
727,sprite-rpc,sv_P1
728,udp,sv_P4
729,ipv6,sv_P4
730,sprite-rpc,SV_P3
731,ipv6,SV_P3
732,tcp,sv_P5
733,tcp,SV_P3
734,ipv6,sv_P1
735,tcp,sv_P1
736,udp,SV_P3
737,tcp,sv_P5
738,tcp,sv_P4
739,udp,sv_P1
740,ipv6,sv_P4
741,ipv6,sv_P2
742,dgp,SV_P3
743,udp,sv_P1
744,ipv6,sv_P1
745,dgp,SV_P3
746,tcp,sv_P1
747,ipv6,sv_P5
748,tcp,SV_P3
749,ipv6,sv_P5
750,tcp,sv_P5
751,sprite-rpc,sv_P1
752,sprite-rpc,SV_P3
753,dgp,sv_P5
754,sprite-rpc,sv_P5
755,dgp,SV_P3
756,ipv6,SV_P3
757,tcp,sv_P5
758,sprite-rpc,sv_P2
759,udp,sv_P4
760,ipv6,SV_P3
761,dgp,sv_P2
762,tcp,sv_P1
763,udp,SV_P3
764,sprite-rpc,sv_P4
765,udp,sv_P2
766,sprite-rpc,SV_P3
767,sprite-rpc,sv_P1
768,udp,sv_P4
769,ipv6,sv_P4
770,dgp,sv_P2
771,ipv6,sv_P5
772,sprite-rpc,sv_P1
773,sprite-rpc,sv_P2
774,dgp,sv_P5
775,udp,sv_P5
776,tcp,sv_P2
777,dgp,sv_P1
778,ipv6,sv_P2
779,dgp,SV_P3
780,ipv6,SV_P3
781,dgp,sv_P1
782,ipv6,sv_P2
783,sprite-rpc,sv_P5
784,tcp,sv_P1
785,udp,sv_P2
786,ipv6,sv_P2
787,udp,sv_P1
788,ipv6,sv_P1
789,dgp,sv_P1
790,ipv6,sv_P1
791,sprite-rpc,SV_P3
792,tcp,sv_P1
793,dgp,sv_P1
794,dgp,sv_P2
795,sprite-rpc,sv_P2
796,dgp,SV_P3
797,udp,sv_P2
798,sprite-rpc,sv_P5
799,udp,sv_P5
800,ipv6,sv_P5
801,dgp,SV_P3
802,ipv6,sv_P4
803,ipv6,sv_P5
804,dgp,sv_P1
805,tcp,SV_P3
806,tcp,sv_P5
807,dgp,sv_P4
808,sprite-rpc,SV_P3
809,ipv6,sv_P1
810,sprite-rpc,sv_P5
811,dgp,sv_P2
812,dgp,sv_P2
813,sprite-rpc,sv_P2
814,sprite-rpc,SV_P3
815,tcp,sv_P2
816,tcp,SV_P3
817,tcp,sv_P1
818,tcp,sv_P1
819,tcp,sv_P4
820,sprite-rpc,sv_P4
821,tcp,sv_P1
822,sprite-rpc,sv_P2
823,tcp,SV_P3
824,tcp,sv_P1
825,ipv6,sv_P2
826,dgp,sv_P1
827,dgp,sv_P1
828,sprite-rpc,sv_P4
829,sprite-rpc,sv_P1
830,dgp,sv_P2
831,udp,sv_P5
832,dgp,sv_P1
833,sprite-rpc,sv_P5
834,ipv6,SV_P3
835,dgp,sv_P1
836,udp,sv_P4
837,udp,sv_P1
838,sprite-rpc,sv_P5
839,sprite-rpc,sv_P1
840,dgp,sv_P2
841,sprite-rpc,SV_P3
842,tcp,sv_P2
843,tcp,sv_P5
844,dgp,sv_P1
845,tcp,sv_P2
846,udp,sv_P2
847,dgp,sv_P5
848,tcp,sv_P5
849,sprite-rpc,sv_P5
850,ipv6,sv_P5
851,sprite-rpc,sv_P5
852,tcp,sv_P2
853,udp,sv_P1
854,tcp,sv_P5
855,udp,sv_P1
856,tcp,sv_P2
857,dgp,sv_P4
858,sprite-rpc,sv_P1
859,udp,SV_P3
860,sprite-rpc,sv_P5
861,udp,sv_P5
862,udp,sv_P2
863,sprite-rpc,sv_P2
864,sprite-rpc,sv_P5
865,sprite-rpc,sv_P2
866,dgp,sv_P1
867,dgp,SV_P3
868,sprite-rpc,sv_P4
869,dgp,SV_P3
870,ipv6,sv_P5
871,dgp,SV_P3
872,ipv6,sv_P2
873,tcp,sv_P4
874,sprite-rpc,sv_P4
875,udp,sv_P2
876,tcp,SV_P3
877,tcp,sv_P5
878,ipv6,SV_P3
879,dgp,SV_P3
880,tcp,sv_P1
881,tcp,sv_P1
882,tcp,sv_P1
883,dgp,sv_P5
884,tcp,sv_P5
885,dgp,SV_P3
886,ipv6,sv_P5
887,sprite-rpc,sv_P4
888,sprite-rpc,sv_P5
889,sprite-rpc,sv_P2
890,udp,SV_P3
891,ipv6,sv_P5
892,dgp,SV_P3
893,tcp,sv_P1
894,sprite-rpc,SV_P3
895,sprite-rpc,sv_P1
896,ipv6,sv_P4
897,sprite-rpc,sv_P4
898,tcp,sv_P4
899,tcp,SV_P3
900,tcp,sv_P1
901,ipv6,sv_P4
902,dgp,sv_P4
903,ipv6,sv_P1
904,tcp,SV_P3
905,udp,sv_P2
906,ipv6,SV_P3
907,tcp,sv_P5
908,tcp,sv_P5
909,dgp,sv_P1
910,tcp,sv_P5
911,ipv6,sv_P5
912,udp,sv_P5
913,ipv6,sv_P5
914,ipv6,sv_P4
915,ipv6,SV_P3
916,ipv6,sv_P4
917,tcp,SV_P3
918,sprite-rpc,sv_P5
919,tcp,sv_P5
920,udp,SV_P3
921,ipv6,sv_P4
922,tcp,sv_P1
923,dgp,sv_P1
924,dgp,sv_P5
925,ipv6,SV_P3
926,sprite-rpc,sv_P2
927,sprite-rpc,sv_P5
928,udp,sv_P2
929,dgp,sv_P4
930,dgp,sv_P5
931,udp,sv_P1
932,dgp,sv_P2
933,ipv6,sv_P2
934,ipv6,sv_P5
935,dgp,sv_P2
936,ipv6,sv_P2
937,udp,sv_P5
938,tcp,sv_P1
939,dgp,sv_P4
940,tcp,sv_P1
941,sprite-rpc,SV_P3
942,udp,sv_P1
943,tcp,sv_P4
944,sprite-rpc,sv_P5
945,dgp,SV_P3
946,tcp,sv_P2
947,dgp,SV_P3
948,dgp,sv_P2
949,udp,SV_P3
950,tcp,sv_P1
951,udp,sv_P4
952,ipv6,sv_P2
953,dgp,sv_P2
954,tcp,sv_P1
955,sprite-rpc,sv_P1
956,dgp,sv_P5
957,tcp,sv_P2
958,tcp,SV_P3
959,udp,sv_P5
960,dgp,sv_P5
961,tcp,sv_P1
962,udp,sv_P5
963,tcp,sv_P5
964,udp,SV_P3
965,sprite-rpc,sv_P1
966,ipv6,sv_P1
967,sprite-rpc,sv_P5
968,tcp,SV_P3
969,sprite-rpc,sv_P4
970,tcp,sv_P4
971,udp,sv_P1
972,dgp,SV_P3
973,udp,sv_P4
974,tcp,sv_P5
975,dgp,sv_P2
976,tcp,sv_P2
977,tcp,sv_P1
978,dgp,sv_P1
979,tcp,sv_P1
980,dgp,sv_P5
981,sprite-rpc,SV_P3
982,tcp,sv_P4
983,dgp,sv_P4
984,udp,sv_P1
985,udp,sv_P5
986,ipv6,sv_P1
987,udp,sv_P1
988,tcp,sv_P2
989,sprite-rpc,sv_P1
990,tcp,sv_P1
991,sprite-rpc,sv_P5
992,udp,sv_P4
993,dgp,sv_P5
994,udp,SV_P3
995,ipv6,sv_P1
996,tcp,sv_P4
997,udp,SV_P3
998,udp,sv_P1
999,udp,sv_P4
1000,ipv6,sv_P5
1001,sprite-rpc,sv_P4
1002,dgp,sv_P4
1003,dgp,SV_P3
1004,tcp,sv_P1
1005,sprite-rpc,SV_P3
1006,tcp,sv_P5
1007,tcp,sv_P2
1008,ipv6,sv_P4
1009,dgp,sv_P4
1010,ipv6,SV_P3
1011,ipv6,sv_P5
1012,dgp,sv_P2
1013,tcp,sv_P5
1014,tcp,sv_P4
1015,dgp,sv_P4
1016,udp,sv_P1
1017,tcp,SV_P3
1018,ipv6,sv_P1
1019,dgp,sv_P2
1020,ipv6,sv_P2
1021,udp,sv_P4
1022,dgp,sv_P1
1023,ipv6,SV_P3
1024,ipv6,sv_P4
1025,tcp,sv_P5
1026,sprite-rpc,sv_P5
1027,udp,sv_P4
1028,sprite-rpc,SV_P3
1029,ipv6,sv_P1
1030,ipv6,sv_P5
1031,tcp,sv_P2
1032,tcp,SV_P3
1033,tcp,sv_P2
1034,udp,sv_P2
1035,sprite-rpc,sv_P5
1036,dgp,sv_P5
1037,dgp,sv_P1
1038,udp,SV_P3
1039,tcp,sv_P4
1040,udp,sv_P4
1041,ipv6,sv_P5
1042,udp,sv_P4
1043,udp,sv_P4
1044,udp,sv_P5
1045,sprite-rpc,sv_P1
1046,dgp,sv_P4
1047,ipv6,sv_P5
1048,dgp,sv_P1
1049,tcp,sv_P2
1050,dgp,sv_P2
1051,udp,sv_P2
1052,dgp,SV_P3
1053,udp,sv_P1
1054,sprite-rpc,SV_P3
1055,tcp,sv_P4
1056,udp,SV_P3
1057,udp,sv_P5
1058,udp,sv_P2
1059,ipv6,SV_P3
1060,sprite-rpc,sv_P5
1061,ipv6,sv_P5
1062,ipv6,sv_P4
1063,udp,sv_P5
1064,dgp,sv_P5
1065,sprite-rpc,SV_P3
1066,sprite-rpc,sv_P4
1067,ipv6,sv_P4
1068,ipv6,SV_P3
1069,tcp,SV_P3
1070,tcp,SV_P3
1071,ipv6,sv_P4
1072,tcp,sv_P4
1073,dgp,sv_P5
1074,dgp,sv_P2
1075,tcp,SV_P3
1076,dgp,sv_P4
1077,dgp,sv_P2
1078,dgp,sv_P4
1079,sprite-rpc,sv_P2
1080,sprite-rpc,sv_P1
1081,ipv6,sv_P2
